Molecule List Name,Precursor Name,Precursor Formula,Precursor Adduct,Precursor Charge,Product m/z,Product Charge,CCS
ymdb,Gluconic acid-p1,C6H12O7,[M-H]-,-1,195.0502,-1,132.6
ymdb,Glucosamine-p1,C6H13NO5,[M+H]+,1,180.1052,1,134.7
ymdb,Glucose 6-phosphate-p1,C6H13O9P,[M-H]-,-1,259.0219,-1,146.7
ymdb,Glutathione-p1,C10H17N3O6S,[M+H]+,1,308.0911,1,167.9
ymdb,Glutathione-p1,C10H17N3O6S,[M-H]-,-1,306.0776,-1,162.8
ymdb,Glyceric acid-p1,C3H6O4,[M-H]-,-1,105.0225,-1,112.8
ymdb,Guanine-p1,C5H5N5O,[M+H]+,1,152.0562,1,131.0
ymdb,Guanosine-p1,C10H13N5O5,[M+H]+,1,284.0977,1,163.5
ymdb,Guanosine-p1,C10H13N5O5,[M-H]-,-1,282.0855,-1,163.0
ymdb,Guanosine diphosphate mannose-p1,C16H25N5O16P2,[M+H]+,1,606.0812,1,227.7
ymdb,Guanosine diphosphate mannose-p1,C16H25N5O16P2,[M-H]-,-1,604.0692,-1,208.8
ymdb,Guanosine monophosphate-p1,C10H14N5O8P,[M+H]+,1,364.064,1,179.6
ymdb,Guanosine monophosphate-p1,C10H14N5O8P,[M-H]-,-1,362.0504,-1,169.4
ymdb,Heptadecanoic acid-p1,C17H34O2,[M+H]+,1,271.2625,1,189.6
ymdb,Heptadecanoic acid-p1,C17H34O2,[M-H]-,-1,269.2486,-1,173.1
ymdb,Hexadecanoylcarnitine-p1,C23H45NO4,[M+H]+,1,400.3427,1,214.7
ymdb,Histamine-p1,C5H9N3,[M+H]+,1,112.0863,1,120.4
ymdb,Homocysteine-p1,C4H9NO2S,[M+H]+,1,136.0427,1,130.2
ymdb,Homocysteine-p1,C4H9NO2S,[M-H]-,-1,134.029,-1,143.8
ymdb,Homovanillic acid-p1,C9H10O4,[M-H]-,-1,181.05,-1,136.3
ymdb,Hypotaurine-p1,C2H7NO2S,[M+H]+,1,110.0269,1,125.5
ymdb,Hypotaurine-p1,C2H7NO2S,[M-H]-,-1,108.0134,-1,132.9
ymdb,Hypoxanthine-p1,C5H4N4O,[M+H]+,1,137.0461,1,130.5
ymdb,Hypoxanthine-p1,C5H4N4O,[M-H]-,-1,135.0317,-1,121.0
ymdb,Indoleacetaldehyde-p1,C10H9NO,[M+H]+,1,160.075,1,132.4
ymdb,Indoleacetaldehyde-p1,C10H9NO,[M-H]-,-1,158.0606,-1,131.0
ymdb,Inosine-p1,C10H12N4O5,[M+H]+,1,269.0886,1,158.2
ymdb,Inosine-p1,C10H12N4O5,[M-H]-,-1,267.076,-1,159.6
ymdb,Inosinic acid-p1,C10H13N4O8P,[M+H]+,1,349.0532,1,174.9
ymdb,Inosinic acid-p1,C10H13N4O8P,[M-H]-,-1,347.0434,-1,171.4
ymdb,Isocitric acid-p1,C6H8O7,[M-H]-,-1,191.0192,-1,127.3
ymdb,Isomaltose-p1,C12H22O11,[M-H]-,-1,341.1084,-1,180.1
ymdb,Isorhamnetin-p1,C16H12O7,[M+H]+,1,317.0661,1,171.9
ymdb,Isorhamnetin-p1,C16H12O7,[M-H]-,-1,315.0505,-1,174.0
ymdb,Kaempferol-p1,C15H10O6,[M+H]+,1,287.0556,1,164.9
ymdb,Kaempferol-p1,C15H10O6,[M-H]-,-1,285.0399,-1,165.4
ymdb,Kynurenic acid-p1,C10H7NO3,[M+H]+,1,190.0497,1,136.6
ymdb,Kynurenic acid-p1,C10H7NO3,[M-H]-,-1,188.0365,-1,135.3
ymdb,L-2-aminoadipate-p1,C6H11NO4,[M+H]+,1,162.0747,1,135.0
ymdb,L-2-aminoadipate-p1,C6H11NO4,[M-H]-,-1,160.0613,-1,130.8
ymdb,L-Acetylcarnitine-p1,C9H17NO4,[M+H]+,1,204.1222,1,143.5
